"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
4.6875,-2.32,10.89,6.80
4.7000,-4.00,11.59,7.48
4.7125,-5.62,10.25,7.81
4.7250,-5.88,8.04,8.12
4.7375,-5.32,6.89,8.18
4.7500,-4.67,6.97,8.29
4.7625,-4.45,7.64,8.46
4.7750,-4.39,8.06,8.88
4.7875,-3.75,7.81,8.96
4.8000,-2.82,7.14,8.99
4.8125,-2.26,6.92,8.88
4.8250,-1.98,6.80,8.65
4.8375,-2.01,6.92,8.48
4.8500,-2.29,7.48,8.40
4.8625,-2.35,8.01,8.26
4.8750,-2.40,8.20,8.06
4.8875,-2.52,8.06,8.15
4.9000,-2.66,8.06,8.04
4.9125,-2.96,8.29,7.95
4.9250,-3.13,8.48,7.98
4.9375,-3.02,8.37,7.87
4.9500,-2.77,7.87,7.76
4.9625,-2.60,7.28,7.64
4.9750,-2.49,6.94,7.59
4.9875,-2.46,6.86,7.62
5.0000,-2.49,6.61,7.56
5.0125,-2.40,6.27,7.48
5.0250,-2.26,5.68,7.50
5.0375,-2.04,5.13,7.50
5.0500,-1.70,5.32,7.78
5.0625,-1.54,5.96,8.04
5.0750,-1.87,6.58,8.34
5.0875,-2.18,6.80,8.71
5.1000,-2.24,6.50,8.88
5.1125,-2.32,6.33,8.76
5.1250,-2.38,6.30,8.65
5.1375,-2.46,6.08,8.37
5.1500,-2.29,6.02,8.04
5.1625,-1.98,6.05,7.81
5.1750,-1.98,6.36,7.73
5.1875,-2.07,7.25,7.98
5.2000,-2.46,8.09,8.12
5.2125,-2.80,8.65,8.29
5.2250,-3.16,8.96,8.37
5.2375,-3.16,8.88,8.37
5.2500,-3.13,8.68,8.37
5.2625,-3.02,8.54,8.29
5.2750,-2.99,8.82,8.32
5.2875,-3.02,9.32,8.34
5.3000,-3.10,9.32,8.15
5.3125,-3.16,9.24,7.90
5.3250,-3.27,9.21,7.64
5.3375,-3.13,9.38,7.48
5.3500,-3.10,9.16,7.14
5.3625,-2.77,8.76,6.83
5.3750,-2.60,8.74,6.66
5.3875,-2.49,8.85,6.44
5.4000,-2.26,9.04,6.36
5.4125,-1.98,9.16,6.24
5.4250,-1.87,9.38,6.27
5.4375,-1.79,9.49,6.16
5.4500,-1.76,9.41,6.10
5.4625,-1.65,9.41,6.08
5.4750,-1.51,9.46,5.99
5.4875,-1.28,9.49,5.91
5.5000,-0.95,9.49,5.88
5.5125,-0.75,9.66,5.77
5.5250,-0.44,9.74,5.66
5.5375,-0.28,9.74,5.63
5.5500,-0.03,9.83,5.52
5.5625,0.31,10.11,5.29
5.5750,0.56,10.42,5.15
